tenant_id,request_id,model_requested,model_used,decision,reason,tokens_used_today,budget_used_today,evaluated_at
C1_SMALL,req_75651,gpt-4,,block,Monthly budget cap hit.,209420,331.42,2025-12-04T06:44:49.341820
C1_SMALL,req_26068,gpt-3.5,,block,Monthly budget cap hit.,426625,437.48,2026-01-01T11:06:41.341820
C1_SMALL,req_77707,gpt-4,,block,Monthly budget cap hit.,451296,304.4,2025-11-15T16:48:03.341820
C1_SMALL,req_56187,mistral,,block,Daily token limit exceeded.,97870,293.44,2025-12-15T13:13:44.341820
C1_SMALL,req_83305,mistral,,block,Model not permitted under current policy tier.,191864,199.27,2026-04-08T04:55:54.341820
C1_SMALL,req_29364,mistral,,block,Model not permitted under current policy tier.,204678,350.24,2026-01-12T09:24:19.341820
C1_SMALL,req_51826,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,86639,177.81,2026-03-06T06:25:00.341820
C1_SMALL,req_71674,mistral,,block,Model not permitted under current policy tier.,15120,305.12,2026-01-01T05:21:15.341820
C1_SMALL,req_61512,mistral,,block,Daily token limit exceeded.,305410,180.56,2026-04-11T07:30:06.341820
C1_SMALL,req_16651,mistral,,block,Daily token limit exceeded.,434512,253.29,2026-04-01T10:32:02.341820
C1_SMALL,req_19966,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,394548,293.68,2025-12-08T12:13:56.341820
C1_SMALL,req_49823,gpt-3.5,,block,Model not permitted under current policy tier.,87638,220.24,2025-12-09T11:51:40.341820
C1_SMALL,req_75419,gpt-4,,block,Daily token limit exceeded.,215524,175.23,2025-11-03T06:51:52.341820
C1_SMALL,req_56209,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,268723,29.68,2025-12-15T05:57:37.341820
C1_SMALL,req_42104,mistral,,block,Model not permitted under current policy tier.,66517,79.0,2025-10-16T20:48:07.341820
C1_SMALL,req_56410,mistral,,block,Monthly budget cap hit.,26256,410.42,2026-02-14T00:50:10.341820
C1_SMALL,req_91085,mistral,,block,Model not permitted under current policy tier.,397801,359.52,2025-12-14T07:27:16.341820
C1_SMALL,req_87057,gpt-3.5,,block,Model not permitted under current policy tier.,441299,460.21,2026-02-19T01:47:37.341820
C1_SMALL,req_32524,mistral,,block,Monthly budget cap hit.,20608,252.7,2026-01-17T18:00:10.341820
C1_SMALL,req_71431,mistral,,block,Daily token limit exceeded.,214755,212.9,2026-01-28T12:52:28.341820
C1_SMALL,req_23703,gpt-4,,block,Model not permitted under current policy tier.,231063,217.19,2026-01-29T11:05:14.341820
C1_SMALL,req_85459,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,367115,40.85,2026-04-08T11:43:30.341820
C1_SMALL,req_63780,gpt-3.5,,block,Daily token limit exceeded.,467732,46.5,2025-11-26T08:38:31.341820
C1_SMALL,req_89496,gpt-3.5,,block,Daily token limit exceeded.,58036,455.96,2026-02-09T12:21:24.341820
C1_SMALL,req_96947,gpt-4,,block,Model not permitted under current policy tier.,469397,317.88,2025-10-28T12:34:29.341820
C1_SMALL,req_36000,gpt-3.5,,block,Model not permitted under current policy tier.,421909,164.88,2026-03-13T02:53:07.341820
C1_SMALL,req_33623,gpt-4,,block,Monthly budget cap hit.,27706,129.36,2026-03-20T09:44:37.341820
C1_SMALL,req_10874,gpt-4,,block,Monthly budget cap hit.,245842,166.41,2025-12-17T04:19:53.341820
C1_SMALL,req_64911,gpt-4,,block,Daily token limit exceeded.,371107,283.63,2026-02-25T22:35:52.341820
C1_SMALL,req_39495,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,312577,437.64,2025-12-28T12:15:32.341820
C1_SMALL,req_47175,gpt-4,,block,Daily token limit exceeded.,267371,435.82,2026-02-03T11:32:43.341820
C1_SMALL,req_40092,gpt-3.5,,block,Monthly budget cap hit.,488193,346.68,2026-04-07T10:15:48.341820
C1_SMALL,req_88708,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,265069,166.87,2025-11-09T21:54:12.341820
C1_SMALL,req_56287,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,19507,36.1,2026-01-23T07:42:10.341820
C1_SMALL,req_14180,mistral,,block,Model not permitted under current policy tier.,38566,389.61,2026-01-08T06:26:33.341820
C1_SMALL,req_82607,gpt-4,,block,Daily token limit exceeded.,397918,192.75,2026-02-06T00:34:35.341820
C1_SMALL,req_29856,mistral,,block,Daily token limit exceeded.,91236,154.7,2026-02-28T02:06:09.341820
C1_SMALL,req_29419,gpt-4,,block,Model not permitted under current policy tier.,456985,389.38,2026-01-06T23:43:28.341820
C1_SMALL,req_47306,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,436353,439.32,2026-04-06T01:43:35.341820
C1_SMALL,req_25641,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,337524,258.97,2025-10-29T03:16:58.341820
C1_SMALL,req_31816,gpt-4,,block,Daily token limit exceeded.,378622,330.12,2025-11-10T03:45:25.341820
C1_SMALL,req_17179,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,237454,110.15,2026-02-28T16:32:52.341820
C1_SMALL,req_44443,gpt-3.5,,block,Daily token limit exceeded.,329144,289.75,2025-11-19T21:17:42.341820
C1_SMALL,req_19726,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,373091,129.16,2025-10-13T18:48:03.341820
C1_SMALL,req_83341,mistral,,block,Daily token limit exceeded.,475651,442.4,2025-11-16T23:28:18.341820
C1_SMALL,req_14910,mistral,,block,Daily token limit exceeded.,296125,224.22,2026-01-25T10:23:08.341820
C1_SMALL,req_78709,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,93919,408.83,2026-02-26T14:27:48.341820
C1_SMALL,req_66506,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,23726,98.85,2026-02-11T17:48:24.341820
C1_SMALL,req_50521,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,137050,187.96,2025-12-02T22:30:14.341820
C1_SMALL,req_14157,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,74342,148.73,2026-01-30T13:33:22.341820
C1_SMALL,req_28302,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,320139,319.87,2026-04-02T02:36:45.341820
C1_SMALL,req_80006,gpt-3.5,,block,Monthly budget cap hit.,435898,388.81,2025-11-09T16:03:48.341820
C1_SMALL,req_24381,gpt-3.5,,block,Model not permitted under current policy tier.,140460,65.95,2025-12-08T12:09:15.341820
C1_SMALL,req_95270,gpt-3.5,,block,Model not permitted under current policy tier.,231354,334.2,2026-02-07T18:09:00.341820
C1_SMALL,req_55646,gpt-4,,block,Daily token limit exceeded.,17874,332.08,2026-03-27T10:27:35.341820
C1_SMALL,req_17774,mistral,,block,Daily token limit exceeded.,261998,358.76,2025-10-16T03:25:01.341820
C1_SMALL,req_10748,gpt-4,,block,Model not permitted under current policy tier.,213092,243.58,2026-01-18T06:07:17.341820
C1_SMALL,req_92814,gpt-4,,block,Daily token limit exceeded.,247281,20.48,2026-03-10T08:23:32.341820
C1_SMALL,req_77377,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,47383,199.13,2026-03-26T08:15:50.341820
C1_SMALL,req_61634,mistral,,block,Monthly budget cap hit.,50785,258.14,2026-03-10T02:02:16.341820
C1_SMALL,req_22875,gpt-3.5,,block,Daily token limit exceeded.,185698,292.9,2026-03-17T08:30:19.341820
C1_SMALL,req_31485,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,12032,222.28,2026-04-01T23:08:39.341820
C1_SMALL,req_42270,mistral,,block,Daily token limit exceeded.,335047,37.53,2026-03-21T09:57:03.341820
C1_SMALL,req_28838,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,237701,288.63,2026-01-16T11:00:03.341820
C1_SMALL,req_97516,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,491256,139.3,2026-01-26T17:35:12.341820
C1_SMALL,req_98594,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,137841,430.31,2026-01-15T06:46:52.341820
C1_SMALL,req_72962,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,23365,125.09,2026-01-26T12:16:42.341820
C1_SMALL,req_37319,gpt-4,,block,Daily token limit exceeded.,183868,487.61,2026-03-04T05:22:32.341820
C1_SMALL,req_95570,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,311218,210.72,2026-01-16T09:07:11.341820
C1_SMALL,req_58972,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,430321,300.6,2026-04-03T14:42:57.341820
C1_SMALL,req_94119,gpt-4,,block,Model not permitted under current policy tier.,370219,114.28,2025-10-31T20:06:37.341820
C1_SMALL,req_97214,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,268607,44.34,2026-02-06T06:32:53.341820
C1_SMALL,req_57905,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,450318,249.79,2026-02-10T16:26:03.341820
C1_SMALL,req_96553,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,227325,435.88,2026-04-08T10:29:04.341820
C1_SMALL,req_94064,mistral,,block,Daily token limit exceeded.,57417,174.07,2025-11-04T11:43:46.341820
C1_SMALL,req_42035,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,184560,66.67,2025-12-07T23:36:54.341820
C1_SMALL,req_10093,gpt-4,,block,Daily token limit exceeded.,102554,405.37,2025-11-30T18:53:33.341820
C1_SMALL,req_73322,gpt-3.5,,block,Model not permitted under current policy tier.,455047,48.26,2026-01-05T04:38:13.341820
C1_SMALL,req_38176,gpt-4,,block,Monthly budget cap hit.,119409,339.95,2025-12-11T21:59:15.341820
C1_SMALL,req_69544,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,124256,179.49,2026-01-17T19:34:16.341820
C1_SMALL,req_48237,mistral,,block,Daily token limit exceeded.,250239,423.85,2025-10-21T05:23:22.341820
C1_SMALL,req_78114,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,430016,92.59,2026-01-14T06:50:11.341820
C1_SMALL,req_92467,gpt-4,,block,Daily token limit exceeded.,27439,236.37,2026-01-10T03:59:05.341820
C1_SMALL,req_68753,gpt-3.5,,block,Monthly budget cap hit.,168932,183.14,2025-11-03T01:36:42.341820
C1_SMALL,req_17110,gpt-4,,block,Daily token limit exceeded.,319074,478.77,2026-03-03T22:43:41.341820
C1_SMALL,req_81594,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,244893,319.57,2026-02-24T00:26:27.341820
C1_SMALL,req_24596,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,237915,445.0,2025-12-05T16:16:15.341820
C1_SMALL,req_76459,gpt-3.5,,block,Monthly budget cap hit.,179158,392.32,2025-12-11T02:53:45.341820
C1_SMALL,req_22739,gpt-3.5,,block,Model not permitted under current policy tier.,11207,317.36,2025-11-14T00:39:13.341820
C1_SMALL,req_69681,gpt-3.5,,block,Model not permitted under current policy tier.,36634,54.31,2025-10-14T13:06:34.341820
C1_SMALL,req_31316,gpt-4,,block,Daily token limit exceeded.,145999,173.92,2025-12-04T00:57:46.341820
C1_SMALL,req_54360,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,146967,19.83,2026-03-15T17:13:08.341820
C1_SMALL,req_16919,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,119524,158.95,2025-10-22T08:27:04.341820
C1_SMALL,req_97911,gpt-4,,block,Model not permitted under current policy tier.,27229,381.33,2025-11-03T05:49:04.341820
C1_SMALL,req_50978,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,63026,411.53,2026-02-21T16:51:11.341820
C1_SMALL,req_79905,gpt-3.5,,block,Model not permitted under current policy tier.,291046,207.24,2025-12-06T21:14:27.341820
C1_SMALL,req_24687,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,316144,245.07,2026-02-18T10:41:50.341820
C1_SMALL,req_10233,mistral,,block,Daily token limit exceeded.,103424,314.45,2026-03-21T20:58:27.341820
C1_SMALL,req_78209,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,44811,179.88,2026-01-27T05:24:32.341820
C1_SMALL,req_82336,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,403394,437.79,2026-01-02T23:30:46.341820
C1_SMALL,req_24361,gpt-3.5,,block,Daily token limit exceeded.,122550,462.9,2026-04-09T18:55:55.341820
C1_SMALL,req_40858,gpt-4,,block,Monthly budget cap hit.,363105,28.03,2026-01-26T21:46:33.341820
C1_SMALL,req_66022,gpt-3.5,,block,Monthly budget cap hit.,166722,262.15,2026-02-14T19:07:59.341820
C1_SMALL,req_79573,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,490162,479.82,2025-12-10T12:00:42.341820
C1_SMALL,req_25028,mistral,,block,Daily token limit exceeded.,242975,469.25,2026-01-09T16:54:18.341820
C1_SMALL,req_42320,mistral,,block,Model not permitted under current policy tier.,13315,340.84,2025-10-23T06:07:16.341820
C1_SMALL,req_69668,mistral,,block,Daily token limit exceeded.,324211,306.77,2025-12-20T09:10:04.341820
C1_SMALL,req_61303,gpt-3.5,,block,Monthly budget cap hit.,260346,200.56,2025-11-18T22:36:24.341820
C1_SMALL,req_56013,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,481139,391.76,2025-11-11T09:58:07.341820
C1_SMALL,req_80531,gpt-3.5,,block,Daily token limit exceeded.,54852,203.03,2026-03-27T12:08:07.341820
C1_SMALL,req_82253,gpt-3.5,,block,Daily token limit exceeded.,186394,400.77,2026-02-23T00:20:40.341820
C1_SMALL,req_78969,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,466613,437.65,2026-01-30T09:30:35.341820
C1_SMALL,req_79132,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,51486,246.67,2026-01-26T17:43:23.341820
C1_SMALL,req_39761,mistral,,block,Model not permitted under current policy tier.,385097,186.56,2025-12-15T10:37:18.341820
C1_SMALL,req_32562,gpt-4,,block,Model not permitted under current policy tier.,420336,208.61,2026-02-16T09:43:11.341820
C1_SMALL,req_83711,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,479786,29.57,2026-01-13T08:54:55.341820
C1_SMALL,req_72682,gpt-3.5,,block,Model not permitted under current policy tier.,340888,96.36,2026-02-28T13:05:50.341820
C1_SMALL,req_11989,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,147476,341.46,2026-03-13T14:12:00.341820
C1_SMALL,req_10031,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,398692,199.23,2026-01-23T19:02:49.341820
C1_SMALL,req_90260,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,257964,91.02,2025-11-04T17:53:53.341820
C1_SMALL,req_28925,gpt-3.5,,block,Model not permitted under current policy tier.,453503,427.67,2026-01-01T15:00:28.341820
C1_SMALL,req_79091,gpt-3.5,,block,Monthly budget cap hit.,115973,87.44,2026-02-10T09:31:22.341820
C1_SMALL,req_34348,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,372293,285.55,2026-02-05T17:45:58.341820
C1_SMALL,req_78691,mistral,,block,Monthly budget cap hit.,386863,58.57,2025-12-18T17:30:50.341820
C1_SMALL,req_46356,gpt-3.5,,block,Daily token limit exceeded.,239680,446.82,2025-11-24T13:02:36.341820
C1_SMALL,req_81479,mistral,,block,Model not permitted under current policy tier.,224892,426.39,2025-11-10T06:30:53.341820
C1_SMALL,req_68339,gpt-3.5,,block,Daily token limit exceeded.,461268,83.6,2026-03-03T03:55:58.341820
C1_SMALL,req_89773,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,352209,180.7,2026-03-18T07:34:40.341820
C1_SMALL,req_73961,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,72408,214.34,2026-03-18T05:08:46.341820
C1_SMALL,req_38229,gpt-4,,block,Model not permitted under current policy tier.,154570,332.02,2025-12-16T04:48:51.341820
C1_SMALL,req_14676,mistral,,block,Model not permitted under current policy tier.,424543,283.09,2025-11-19T02:14:44.341820
C1_SMALL,req_61603,gpt-3.5,,block,Monthly budget cap hit.,463716,249.61,2026-01-31T17:50:29.341820
C1_SMALL,req_26906,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,117986,188.49,2026-03-08T02:57:16.341820
C1_SMALL,req_48800,mistral,,block,Model not permitted under current policy tier.,434028,415.53,2025-10-30T02:20:16.341820
C1_SMALL,req_37508,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,149663,385.87,2026-03-28T10:31:55.341820
C1_SMALL,req_82010,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,368141,151.53,2026-04-08T05:51:43.341820
C1_SMALL,req_34542,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,373646,45.66,2025-11-23T07:16:14.341820
C1_SMALL,req_95628,gpt-4,,block,Daily token limit exceeded.,180202,157.32,2026-02-06T02:19:39.341820
C1_SMALL,req_90741,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,405679,412.38,2026-04-04T22:17:12.341820
C1_SMALL,req_33273,gpt-4,,block,Monthly budget cap hit.,483666,386.79,2025-12-07T22:16:00.341820
C1_SMALL,req_47198,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,275634,205.43,2025-10-19T05:55:25.341820
C1_SMALL,req_87256,mistral,,block,Monthly budget cap hit.,36335,66.63,2025-11-05T21:15:52.341820
C1_SMALL,req_58810,gpt-3.5,,block,Model not permitted under current policy tier.,66745,358.92,2025-12-03T18:16:39.341820
C1_SMALL,req_14973,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,280374,64.9,2025-11-14T08:14:17.341820
C1_SMALL,req_85664,gpt-4,,block,Model not permitted under current policy tier.,457222,243.56,2026-03-07T01:59:45.341820
C1_SMALL,req_32701,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,117512,16.15,2026-04-01T08:21:54.341820
C1_SMALL,req_42434,mistral,,block,Daily token limit exceeded.,264671,188.13,2026-02-23T20:23:18.341820
C1_SMALL,req_66945,gpt-4,,block,Daily token limit exceeded.,232092,380.82,2025-12-30T22:15:22.341820
C1_SMALL,req_14887,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,250905,377.15,2026-03-04T16:09:36.341820
C1_SMALL,req_55720,gpt-3.5,,block,Monthly budget cap hit.,217846,80.31,2026-02-10T00:15:47.341820
C1_SMALL,req_24914,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,471879,104.67,2026-01-24T17:42:25.341820
C1_SMALL,req_45700,gpt-4,,block,Daily token limit exceeded.,10606,52.25,2026-02-17T03:36:53.341820
C1_SMALL,req_44083,gpt-4,,block,Model not permitted under current policy tier.,479349,269.13,2026-03-19T08:44:16.341820
C1_SMALL,req_50261,mistral,,block,Monthly budget cap hit.,325183,375.75,2026-04-11T09:22:50.341820
C1_SMALL,req_84898,gpt-4,,block,Model not permitted under current policy tier.,388637,192.21,2026-02-14T08:16:17.341820
C1_SMALL,req_85827,mistral,,block,Model not permitted under current policy tier.,424274,18.52,2026-02-18T06:09:52.341820
C1_SMALL,req_73369,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,22432,411.44,2026-01-31T02:59:41.341820
C1_SMALL,req_98299,gpt-3.5,,block,Daily token limit exceeded.,472706,148.75,2026-03-24T19:16:31.341820
C1_SMALL,req_11653,gpt-3.5,,block,Monthly budget cap hit.,263581,276.99,2026-03-16T13:30:42.341820
C1_SMALL,req_51966,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,342222,398.14,2026-02-07T20:49:26.341820
C1_SMALL,req_11350,mistral,,block,Model not permitted under current policy tier.,112900,324.0,2025-12-18T16:03:08.341820
C1_SMALL,req_61375,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,386049,229.26,2025-10-29T22:29:12.341820
C1_SMALL,req_77746,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,452420,71.21,2026-03-12T22:24:54.341820
C1_SMALL,req_62280,gpt-4,,block,Monthly budget cap hit.,314010,437.75,2025-12-21T16:53:37.341820
C1_SMALL,req_98666,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,266340,167.16,2025-11-13T16:57:10.341820
C1_SMALL,req_57505,gpt-3.5,,block,Monthly budget cap hit.,183748,316.22,2025-11-10T16:35:20.341820
C1_SMALL,req_74267,mistral,,block,Daily token limit exceeded.,415958,203.9,2025-11-09T03:24:04.341820
C1_SMALL,req_44105,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,419851,310.5,2025-12-12T10:52:28.341820
C1_SMALL,req_54728,mistral,,block,Model not permitted under current policy tier.,271232,463.77,2025-11-01T09:48:30.341820
C1_SMALL,req_16020,mistral,,block,Monthly budget cap hit.,12240,221.61,2026-03-29T21:44:35.341820
C1_SMALL,req_33611,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,77240,168.94,2025-11-15T00:32:12.341820
C1_SMALL,req_57468,gpt-3.5,,block,Daily token limit exceeded.,346977,39.77,2026-03-11T12:58:03.341820
C1_SMALL,req_93383,gpt-4,,block,Model not permitted under current policy tier.,468720,482.9,2026-01-10T22:44:38.341820
C1_SMALL,req_51106,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,435273,432.79,2025-11-01T07:52:11.341820
C1_SMALL,req_45878,gpt-4,,block,Model not permitted under current policy tier.,461082,459.08,2025-10-22T17:12:36.341820
